Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"CzyZaacpetowany = getText(findTestObject(""tabela"", [""xpath"":""//table[@id='tblZastepstwaIndexGrid']/tbody/tr/td[9]""]))",Chrome 72.0.3626.109,,2019-02-26 08:16:17,2019-02-26 08:16:18,"0,206s",PASSED
"DataAkceptacji = getText(findTestObject(""tabela"", [""xpath"":""//table[@id='tblZastepstwaIndexGrid']/tbody/tr/td[12]""]))",Chrome 72.0.3626.109,,2019-02-26 08:16:18,2019-02-26 08:16:18,"0,188s",PASSED
"assert CzyZaakceptowany == ""tak""",Chrome 72.0.3626.109,,2019-02-26 08:16:18,2019-02-26 08:16:18,"0,031s",ERROR
,,,,,,
Test Cases/Testy jeden po drugim zastepstwa/Test_003.4 Aktywacja zastepstwa,Chrome 72.0.3626.109,,2019-02-26 08:16:18,2019-02-26 08:16:38,"19,890s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-26 08:16:18,2019-02-26 08:16:18,"0,078s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,002s",NOT_RUN
"help_pack.Logowanie.zaloguj(""admin"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
TworzenieZastepstwa(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
"help_pack.Logowanie.zaloguj(""anna.borowska"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,015s",NOT_RUN
AkceptacjaNaKoncieAnnaBorowska(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
"help_pack.Logowanie.zaloguj(""romuald.puzyrewski"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,016s",NOT_RUN
AkceptacjaNaKoncieRomualdPuzyrewski(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
"help_pack.Logowanie.zaloguj(""ludwik.bartoszewicz"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
AkceptacjaNaKoncieLudwikBartoszewicz(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,016s",NOT_RUN
SprawdzCzyJestAkceptacja(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",NOT_RUN
AktywacjaZastepstwa(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:20,"0,000s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:16:20,2019-02-26 08:16:21,"1,102s",PASSED
"help_pack.Logowanie.zaloguj(""admin"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:16:21,2019-02-26 08:16:28,"6,917s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:16:28,2019-02-26 08:16:28,"0,359s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Definiowane)""))",Chrome 72.0.3626.109,,2019-02-26 08:16:28,2019-02-26 08:16:29,"0,959s",PASSED
"help_pack.Set_text_and_press_enter.set_text(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/Do pola nazwisko""), ""Wojciechowski"")",Chrome 72.0.3626.109,,2019-02-26 08:16:29,2019-02-26 08:16:35,"6,358s",PASSED
Thread.sleep(200),Chrome 72.0.3626.109,,2019-02-26 08:16:35,2019-02-26 08:16:36,"0,213s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:16:36,2019-02-26 08:16:36,"0,551s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty Ludwik/Obiekty dodatkowe do test_001/Wiersz pierwszy w tabela Stanwiska""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:16:36,2019-02-26 08:16:37,"0,342s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty Ludwik/Obiekty dodatkowe do test_001/wiersz pierwszy w tabela Zastepstwa""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:16:37,2019-02-26 08:16:37,"0,889s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//div[@id='obi_zastepstwa_actions_aktywuj']/div""]), 15)",Chrome 72.0.3626.109,Kliknij button aktywuj,2019-02-26 08:16:37,2019-02-26 08:16:38,"0,292s",PASSED
